户型,信息,房名,地址,描述
3室2厅2卫,"['124㎡', '西', '高层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['西', '唯一住房', '近地铁']"
3室2厅1卫,"['85.27㎡', '东', '高层(共33层)', '2018年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['东', '有电梯', '近地铁', '车位充足']"
3室2厅2卫,"['118.85㎡', '南', '中层(共33层)', '2020年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['89.35㎡', '北', '高层(共33层)', '2019年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['北', '满二年', '近地铁', '车位充足']"
2室2厅2卫,"['84㎡', '南']",澳洲湾(新房),新都三河兴城大道533号,"['南北通透', '厨卫全明', '双阳台', '轨交房']"
4室2厅3卫,"['106.38㎡', '南北', '低层(共33层)', '2023年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '满二年', '近地铁', '绿化率高']"
4室2厅3卫,"['125.73㎡', '南', '低层(共34层)', '2020年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满二年', '近地铁', '次新房']"
3室2厅2卫,"['98㎡', '南', '低层(共33层)', '2015年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南', '满五年', '近地铁', '多人关注']"
3室2厅2卫,"['115.76㎡', '南', '低层(共32层)', '2019年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
5室3厅5卫,"['121.14㎡', '南北', '低层(共34层)', '2020年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['南北', '满五年', '近地铁', '次新房']"
5室2厅2卫,"['122㎡', '西南', '低层(共33层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['西南', '满二年', '近地铁', '绿化率高']"
4室2厅2卫,"['106.38㎡', '南北', '低层(共32层)', '2022年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['107.3㎡', '南北', '中层(共33层)', '2016年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南北', '唯一住房', '近地铁', '绿化率高']"
2室2厅1卫,"['119㎡', '北', '高层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['北', '唯一住房', '近地铁', '绿化率高']"
3室2厅2卫,"['96.78㎡', '东', '高层(共30层)', '2016年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '唯一住房', '近地铁']"
3室2厅2卫,"['117.36㎡', '南北', '低层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['85㎡', '南', '高层(共33层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['101.34㎡', '西南', '低层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['西南', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['108.1㎡', '西', '低层(共30层)', '2018年建造']",远大中央公园,天府新区南湖南湖大道333号,"['西', '满二年', '近地铁', '绿化率高']"
4室2厅2卫,"['121.71㎡', '南', '低层(共32层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '房东直卖', '满五年', '近地铁']"
3室2厅3卫,"['141.09㎡', '东南', '低层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['东南', '唯一住房', '近地铁', '绿化率高']"
3室2厅2卫,"['106.38㎡', '南', '高层(共33层)', '2019年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满五年', '近地铁', '绿化率高']"
4室2厅2卫,"['121.31㎡', '南', '高层(共32层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满二年', '近地铁']"
3室2厅2卫,"['87.35㎡', '南', '中层(共33层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满五年', '近地铁', '户型方正']"
3室2厅2卫,"['95.81㎡', '北', '高层(共33层)', '2019年建造']",远大中央公园,天府新区南湖南湖大道333号,"['北', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['88.16㎡', '东', '低层(共30层)', '2012年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '满二年', '近地铁']"
3室2厅2卫,"['123.66㎡', '南', '中层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅1卫,"['100.65㎡', '东', '高层(共7层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '满五年', '近地铁', '户型方正']"
3室2厅1卫,"['101.32㎡', '南', '中层(共7层)', '2017年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['南', '满五年', '近地铁', '户型方正']"
3室2厅2卫,"['126㎡', '西北', '高层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['西北', '唯一住房', '近地铁', '绿化率高']"
3室2厅2卫,"['103.15㎡', '东', '高层(共33层)', '2012年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '唯一住房', '近地铁']"
2室1厅1卫,"['72.56㎡', '西', '高层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['西', '满二年', '近地铁', '车位充足']"
4室2厅2卫,"['129㎡', '北', '中层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['北', '唯一住房', '近地铁']"
3室2厅2卫,"['124.21㎡', '南北', '中层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['南北', '唯一住房', '近地铁', '绿化率高']"
4室2厅2卫,"['156.88㎡', '北', '高层(共6层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['北', '满五年', '近地铁', '绿化率高']"
5室2厅2卫,"['122.68㎡', '西南', '高层(共33层)', '2013年建造']",龙城1号,龙泉驿大面龙城大道1号,"['西南', '满五年', '近地铁', '绿化率高']"
2室2厅2卫,"['88.56㎡', '南北', '中层(共23层)', '2022年建造']",正成财富ID(商住楼),锦江春熙路梓潼桥西街2号,"['南北', '近地铁', '次新房']"
3室2厅2卫,"['120㎡', '东', '高层(共34层)', '2013年建造']",南湖国际社区(南区),天府新区南湖南湖西路175号,"['东', '唯一住房', '近地铁']"
3室2厅1卫,"['116.28㎡', '南北', '高层(共32层)', '2012年建造']",保利心语观园国际,高新区大源富华南路1700号,"['南北', '满五年', '近地铁']"
3室2厅2卫,"['141.11㎡', '南', '中层(共25层)', '2021年建造']",王府井商务公寓,"锦江春熙路总府街15号,华兴正街9号","['南', '满五年', '近地铁', '次新房']"
4室2厅2卫,"['147.14㎡', '南北', '中层(共27层)', '2021年建造']",雪松雅居乐IN天府,"成华火车东站峨眉山路999号,白龙江路299号","['南北', '有电梯', '近地铁', '车位充足']"
3室2厅2卫,"['114㎡', '南', '低层(共33层)', '2021年建造']",远大中央公园,天府新区南湖南湖大道333号,"['南', '满二年', '近地铁', '绿化率高']"
3室2厅1卫,"['97.45㎡', '南北', '中层(共24层)', '2011年建造']",中海兰庭,高新区大源盛邦街333号,"['南北', '近地铁']"
3室2厅3卫,"['92.12㎡', '南北', '低层(共34层)', '2020年建造']",洛森堡碟郡新殿,天府新区麓山麓山大道一段630号,"['南北', '满五年', '近地铁', '次新房']"
3室2厅3卫,"['86.16㎡', '南北', '低层(共34层)', '2020年建造']",红树湾,"高新区中和中和大道二段69号,府兴路57号","['南北', '满五年', '近地铁', '次新房']"
3室2厅1卫,"['95.37㎡', '南北', '中层(共24层)', '2014年建造']",中海兰庭,高新区大源盛邦街333号,"['南北', '满五年', '近地铁']"
3室2厅2卫,"['140.93㎡', '南', '中层(共25层)', '2019年建造']",王府井商务公寓,"锦江春熙路总府街15号,华兴正街9号","['南', '满五年', '近地铁', '多人关注']"
3室2厅2卫,"['105.15㎡', '南北', '低层(共32层)', '2018年建造']",南湖半岛,天府新区南湖南湖北路189号,"['南北', '满五年', '近地铁', '多人关注']"
3室2厅1卫,"['85.27㎡', '东', '高层(共33层)', '2018年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['东', '近地铁', '随时可看']"
3室2厅2卫,"['105.96㎡', '东', '低层(共25层)', '2016年建造']",中铁银杏广场,郫都红光广场路北四段10号,"['东', '近地铁']"
3室2厅1卫,"['91.25㎡', '南', '高层(共24层)', '2018年建造']",千禧河畔D区,温江温江城区江安路666号,"['南', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['87.92㎡', '西北', '高层(共34层)', '2012年建造']",果壳里的城,"龙泉驿政务中心大连北路78号,北泉路1188号","['西北', '唯一住房', '近地铁', '绿化率高']"
3室2厅2卫,"['90.1㎡', '东北', '低层(共33层)', '2010年建造']",中房红枫岭(三期),成华建设路建设南路160号,"['东北', '满五年', '近地铁']"
3室2厅1卫,"['91.38㎡', '南', '低层(共26层)', '2020年建造']",人居东城花汇,锦江三圣乡栀子街1097号,"['南', '满二年', '次新房']"
3室2厅2卫,"['87.96㎡', '东', '高层(共17层)', '2018年建造']",合力达卓越南城,双流文星空港一路一段189号,"['东', '唯一住房', '近地铁', '车位充足']"
3室2厅1卫,"['84.2㎡', '南', '中层(共34层)', '2016年建造']",中国铁建北湖国际城,成华龙潭寺湖秀二路8号,"['南', '满五年', '车位充足']"
2室2厅1卫,"['81.06㎡', '西南', '高层(共24层)', '2015年建造']","丰怡阳光B,C区","新都大丰崇义桥街187号,铁石板街65号","['西南', '满五年', '近地铁']"
3室2厅2卫,"['93.1㎡', '北', '低层(共24层)', '2018年建造']",万科第五城四期,双流蛟龙港康家宴路二段188号,"['北', '近地铁', '车位充足']"
3室2厅1卫,"['94㎡', '西', '高层(共32层)', '2017年建造']",中洲锦城湖岸,高新区大源天府一街616号,"['西', '房东直卖', '满五年', '近地铁']"
3室2厅2卫,"['99㎡', '南', '高层(共33层)', '2018年建造']",皇冠湖壹号,龙泉驿东安湖桃都大道中段999号,"['南', '满五年', '近地铁', '户型方正']"
3室2厅1卫,"['87.19㎡', '西北', '中层(共32层)', '2019年建造']",华熙528艺术村锦都,锦江三圣乡银木街61号,"['西北', '唯一住房', '近地铁', '车位充足']"
3室1厅1卫,"['90.13㎡', '南北', '中层(共26层)', '2010年建造']",蜀都惠园,成华双桥子水碾河路25号,"['南北', '近地铁']"
2室2厅1卫,"['89.27㎡', '西', '高层(共16层)', '2012年建造']",中华名园(三期D区),武侯外双楠顺和横街29号,"['西', '满五年', '近地铁']"
3室2厅1卫,"['90.26㎡', '南', '低层(共33层)', '2009年建造']",曦城,金牛花牌坊金仙桥路8号,"['南', '满五年', '近地铁']"
3室2厅1卫,"['65.18㎡', '东北', '中层(共33层)', '2016年建造']",蓝光COCO国际(一期),成华动物园龙厢街299号,"['东北', '新上小区', '价格优惠', '房东急售']"
3室2厅2卫,"['85.17㎡', '东南', '低层(共25层)', '2019年建造']",万科理想城三期星河,郫都犀浦学园路285号,"['东南', '近地铁']"
4室2厅2卫,"['138.85㎡', '南北', '共5层', '2010年建造']",锦绣森邻,温江光华大道温泉大道一段1399号,"['南北', '满二年', '近地铁', '多人关注']"
3室2厅2卫,"['93.05㎡', '南北', '低层(共24层)', '2019年建造']",万科第五城四期,双流蛟龙港康家宴路二段188号,"['南北', '满二年', '近地铁', '车位充足']"
5室2厅2卫,"['73.4㎡', '东南', '高层(共34层)', '2014年建造']",橡树湾B区,"郫都红光银润南一路55号,西区大道1398号","['东南', '满五年', '近地铁']"
3室2厅2卫,"['99㎡', '西北', '低层(共34层)', '2016年建造']",万锦城,"双流华府华府大道三段268号,华府大道三段869号","['西北', '唯一住房', '近地铁']"
3室2厅1卫,"['91㎡', '南', '中层(共32层)', '2016年建造']",蜀郡又一城,"天府新区华阳伏龙北巷168号,华府大道一段518号","['南', '满五年', '近地铁', '绿化率高']"
2室2厅1卫,"['73.09㎡', '南北', '高层(共28层)', '2017年建造']",益州国际广场,天府新区华阳华府大道一段688号,"['南北', '满五年', '近地铁', '车位充足']"
2室2厅1卫,"['90.56㎡', '北', '低层(共30层)', '2019年建造']",中德英伦世邦(F区),高新区南延线梓州大道5900号,"['北', '满二年', '近地铁', '采光较好']"
4室2厅2卫,"['117㎡', '南', '中层(共17层)', '2013年建造']",边城香格里,温江光华大道清泉南街99号,"['南', '近地铁', '满五']"
2室2厅1卫,"['82.59㎡', '东', '中层(共15层)', '2015年建造']",大成郡,"双流航空港大件路文星段156号,星月路69号","['东', '满二年']"
2室2厅1卫,"['70.16㎡', '西南', '中层(共18层)', '2014年建造']",九州金色港湾,青白江文体中心凤祥大道78号,"['经纪人力荐', '西南', '满五年']"
4室2厅2卫,"['97.55㎡', '西南', '低层(共31层)', '2013年建造']",华邑阳光里,郫都犀浦校园路东段188号,"['西南', '满五年', '近地铁']"
3室2厅3卫,"['92.12㎡', '南北', '低层(共34层)', '2020年建造']",洛森堡碟郡新殿,天府新区麓山麓山大道一段630号,"['南北', '满五年', '近地铁', '次新房']"
3室2厅1卫,"['98㎡', '东', '高层(共27层)', '2015年建造']",北新上锦一期,新都大丰通力路65号,"['东', '满五年', '近地铁']"
3室2厅1卫,"['95.47㎡', '南', '高层(共34层)', '2010年建造']",蓝光香境,温江光华大道凤凰北大街666号,"['南', '满五年', '近地铁', '户型方正']"
3室2厅1卫,"['92.54㎡', '北', '中层(共33层)', '2021年建造']",首钢蓉城里,成华龙潭寺湖秀二路66号,"['北', '满二年', '车位充足']"
2室1厅1卫,"['85.57㎡', '北', '低层(共47层)', '2018年建造']",中德英伦联邦(C区),高新区南延线观东二街59号,"['北', '满五年', '近地铁', '车位充足']"
3室2厅1卫,"['86.23㎡', '东北', '高层(共26层)', '2014年建造']",桂湖名城,"新都新都老城区电子路中段144号,励志路一段68号","['东北', '优势户型', '房东急售', '随时可看']"
3室2厅2卫,"['83㎡', '东南', '高层(共40层)', '2016年建造']",蓝润V客东都,锦江三圣乡银木街505号,"['东南', '满五年', '近地铁']"
3室2厅1卫,"['87㎡', '南', '中层(共27层)', '2016年建造']",万科金色城品,龙泉驿十陵金桂路600号,"['南', '近地铁', '绿化率高']"
3室2厅1卫,"['89.73㎡', '南北', '中层(共18层)', '2012年建造']",清溪雅筑,青羊外光华培风路271号,"['南北', '满二年', '近地铁']"
3室2厅1卫,"['81.35㎡', '南', '中层(共32层)', '2017年建造']",保利爱尚里,新都大丰诚信路456号,"['南', '满二年', '车位充足']"
3室2厅1卫,"['103.47㎡', '南北', '低层(共7层)', '1999年建造']",成都市青羊区公安分局宿舍,青羊草堂牧电后街6号,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['94㎡', '南北', '中层(共32层)', '2018年建造']",戛纳湾金棕榈,天府新区华阳协和下街588号,"['南北', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['90.01㎡', '东南', '低层(共21层)', '2018年建造']",万科城臻园,"郫都犀浦两河东路319号,天辰路190号","['东南', '热门小区', '近地铁', '配套成熟']"
3室2厅2卫,"['93.88㎡', '南', '中层(共33层)', '2021年建造']",首钢蓉城里,成华龙潭寺湖秀二路66号,"['南', '满二年', '车位充足', '采光较好']"
3室2厅2卫,"['98.41㎡', '东', '高层(共31层)', '2019年建造']",保利爱尚里,新都大丰诚信路456号,"['东', '满二年', '车位充足']"
3室2厅1卫,"['89㎡', '南', '低层(共34层)', '2015年建造']",人居锦尚春天A区,锦江三圣乡樱花街1238号,"['南', '房东直卖', '满五年', '近地铁']"
3室2厅2卫,"['85.17㎡', '东', '高层(共25层)', '2019年建造']",万科理想城三期星河,郫都犀浦学园路285号,"['东', '近地铁']"
3室2厅1卫,"['93.23㎡', '东', '中层(共31层)', '2021年建造']",绿岛筑,"锦江锦江周边紫檀街224号,白桦林路999号","['东', '满二年', '车位充足']"
3室2厅1卫,"['93㎡', '南', '低层(共18层)', '2010年建造']",文星花园,双流文星川大路三段266号,"['南', '唯一住房', '近地铁', '人气热搜']"
3室2厅2卫,"['89.7㎡', '南', '低层(共19层)', '2012年建造']",凯德风尚,青羊万家湾成飞大道南段199号,"['南', '热门小区', '南北通透', '满五']"
3室2厅2卫,"['98.89㎡', '南北', '高层(共16层)', '2011年建造']",泉水人家二期B区,金牛五块石朗润路2号,"['南北', '满五年', '近地铁', '多人关注']"
3室2厅1卫,"['79.16㎡', '南', '中层(共42层)', '2016年建造']",中国铁建北湖国际城,成华龙潭寺湖秀二路8号,"['南', '房东直卖', '满二年', '车位充足']"
3室2厅1卫,"['102.73㎡', '南', '中层(共6层)', '2012年建造']",御源大湖区,龙泉驿政务中心驿都大道中路900号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['87㎡', '东北', '中层(共33层)', '2010年建造']",金茂光明城市,天府新区华阳华府大道一段996号,"['东北', '满五年', '近地铁']"
3室2厅2卫,"['89㎡', '西南', '低层(共34层)', '2016年建造']",佳年华新生活(B区),温江光华大道江安路518号,"['西南', '满二年', '近地铁', '绿化率高']"
3室2厅1卫,"['89.32㎡', '东南', '低层(共34层)', '2008年建造']",上东锦城A区,锦江川师静祥路33号,"['东南', '房东直卖', '满二年', '近地铁']"
3室2厅1卫,"['88.85㎡', '南北', '高层(共7层)', '1999年建造']",浣花北路26号院,青羊浣花小区浣花北路26号,"['南北', '满五年', '近地铁']"
3室1厅1卫,"['83㎡', '南北', '中层(共21层)', '2006年建造']",戛纳湾畔,天府新区华阳滨河路二段366号,"['南北', '房东直卖', '满五年', '近地铁']"
3室2厅1卫,"['74㎡', '东北', '中层(共25层)', '2020年建造']",万科理想城三期星河,郫都犀浦学园路285号,"['东北', '满二年', '近地铁', '次新房']"
3室2厅2卫,"['135.9㎡', '南', '低层(共11层)', '2020年建造']",保利天和,金牛天回镇天龙大道909号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅1卫,"['86.05㎡', '南北', '中层(共34层)', '2013年建造']",首创国际城(二期),成华成渝立交和美西路8号,"['南北', '满五年', '近地铁', '户型方正']"
3室2厅1卫,"['88.1㎡', '东北', '中层(共16层)', '2010年建造']",中华名园(二期),武侯外双楠顺和街89号,"['东北', '满五年', '近地铁']"
3室2厅2卫,"['114.04㎡', '南', '高层(共26层)', '2012年建造']",汇景新城,"新都石油大学新泰东路144号,蜀龙大道中段1011号","['南', '近地铁', '车位充足']"
3室2厅2卫,"['89㎡', '南', '高层(共33层)', '2018年建造']",金科天宸(A区),温江光华大道共和东路366号,"['经纪人力荐', '南', '房东直卖', '唯一住房']"
3室2厅1卫,"['88.35㎡', '南北', '高层(共33层)', '2016年建造']",绿地城,新都大丰诚信路199号,"['南北', '满五年', '近地铁', '绿化率高']"
3室2厅1卫,"['86.22㎡', '南', '中层(共11层)', '2015年建造']",莱茵北郡,新都三河厚诚路123号,"['南', '满五年', '近地铁', '户型方正']"
3室2厅2卫,"['92.53㎡', '南', '中层(共25层)', '2019年建造']",保利城四期B区,新都大丰宝丰巷80号,"['南', '满五年', '采光较好', '多人关注']"
3室2厅2卫,"['90.41㎡', '西', '低层(共24层)', '2018年建造']",万科第五城四期,双流蛟龙港康家宴路二段188号,"['西', '满二年', '近地铁', '车位充足']"
2室2厅1卫,"['86.61㎡', '南北', '高层(共18层)', '2016年建造']",成都合院(一期),高新西区西源大道西源大道1313号,"['南北', '满五年', '近地铁', '车位充足']"
3室2厅2卫,"['98.52㎡', '南', '低层(共32层)', '2017年建造']",四川煤田光华之心,温江光华大道乐善路77号,"['南', '满五', '房东急售', '随时可看']"
4室2厅3卫,"['143.78㎡', '南', '中层(共30层)', '2020年建造']",蓝光长岛国际三期,双流蛟龙港江美南路128号,"['南', '满二年', '车位充足']"
3室2厅2卫,"['84.14㎡', '南', '低层(共18层)', '2020年建造']",合力达卓越南城,双流文星空港一路一段189号,"['南', '房东直卖', '满五年', '近地铁']"
3室1厅1卫,"['81.96㎡', '南北', '中层(共7层)', '1998年建造']",王家塘巷11号院,青羊新城市广场王家塘巷11号,"['南北', '满五年', '近地铁']"
3室2厅2卫,"['112.33㎡', '南北', '中层(共7层)', '2005年建造']",花香庭园,武侯清水河万华街39号,"['南北', '满五年']"
3室2厅1卫,"['90.96㎡', '南北', '高层(共31层)', '2016年建造']",蓝光锦绣城(五期),成华成渝立交和美东路177号,"['南北', '房东直卖', '满二年', '近地铁']"
3室2厅1卫,"['86.64㎡', '东', '高层(共18层)', '2012年建造']",正成拉斐,金牛国宾兴科北路8号,"['东', '满二年', '近地铁']"
3室2厅2卫,"['91.82㎡', '西南', '高层(共32层)', '2018年建造']",戛纳湾金棕榈,天府新区华阳协和下街588号,"['西南', '热门小区', '南北通透', '满五']"
3室2厅2卫,"['81㎡', '南', '高层(共29层)', '2017年建造']",润扬双铁广场,"郫都犀浦双铁路112号,天府路88号","['南', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['132.83㎡', '南北', '低层(共11层)', '2010年建造']",青羊教师公寓(培风路),"青羊外光华培风路80号,培风东街277号","['南北', '热门小区', '近地铁', '价格优惠']"
3室2厅1卫,"['85.32㎡', '东南', '低层(共34层)', '2018年建造']",首创娇子1号,锦江三圣乡棣棠路870号,"['东南', '近地铁', '车位充足']"
3室2厅2卫,"['89.84㎡', '东南', '高层(共33层)', '2015年建造']",中德英伦联邦(B区),"高新区南延线梓州大道5500号,会龙路365号","['东南', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['103㎡', '南北', '中层(共32层)', '2012年建造']",保利心语上府,高新区大源富华南路1606号,"['南北', '满五年', '近地铁', '户型方正']"
3室2厅2卫,"['98.21㎡', '南', '高层(共24层)', '2018年建造']",兴唐中心城,龙泉驿总站片区卧龙街260号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['92.01㎡', '南北', '高层(共31层)', '2021年建造']",富豪公馆,新都石油大学兴乐北路333号,"['南北', '有电梯', '近地铁', '绿化率高']"
3室2厅2卫,"['112㎡', '南', '中层(共33层)', '2017年建造']",中海右岸(一期),双流华府剑南大道南段2688号,"['南', '热门小区', '南北通透', '满五']"
2室2厅1卫,"['82.46㎡', '东', '高层(共18层)', '2012年建造']",清水路苑,青羊外光华武青北路西货站路312号,"['东', '满二年', '近地铁']"
4室2厅2卫,"['125㎡', '南北', '中层(共34层)', '2020年建造']",花样年香门第北区,郫都郫筒蜀信西路577号,"['南北', '满五年', '近地铁', '次新房']"
3室2厅2卫,"['117.13㎡', '南', '中层(共9层)', '2005年建造']",兴元嘉园,武侯五大花园果堰街8号,"['南', '满五年', '近地铁']"
3室2厅2卫,"['96.78㎡', '东', '高层(共30层)', '2016年建造']",炜岸城,龙泉驿大面驿都西路3666号,"['东', '唯一住房', '近地铁']"
3室2厅1卫,"['80.25㎡', '南', '高层(共34层)', '2017年建造']",佳兆业丽晶公馆,"温江光华大道花都大道西段318号,诚心路99号","['南', '热门小区', '配套成熟', '价格优惠']"
3室2厅2卫,"['87㎡', '南', '中层(共31层)', '2017年建造']",润扬观澜鹭岛二期,"新都新都新城区育英路,曲景东路139号","['南', '满二年', '车位充足', '采光较好']"
2室2厅1卫,"['77.58㎡', '东', '高层(共39层)', '2015年建造']",卓锦万黛,龙泉驿大面龙城大道666号,"['东', '满五年', '绿化率高']"
3室2厅1卫,"['78.29㎡', '南', '中层(共23层)', '2011年建造']",神仙树馨苑,"高新区新北新乐路410号,新乐中街277号","['南', '满五年', '近地铁']"
3室2厅1卫,"['89.23㎡', '南北', '中层(共32层)', '2009年建造']",中海兰庭,高新区大源盛邦街333号,"['南北', '满五年', '近地铁']"
3室2厅1卫,"['87.76㎡', '南', '高层(共18层)', '2010年建造']",龙湖丽景B区,成华龙潭寺火神庙路65号,"['南', '满五年']"
2室2厅1卫,"['91㎡', '北', '中层(共21层)', '2013年建造']",汇景新城,"新都石油大学新泰东路144号,蜀龙大道中段1011号","['经纪人力荐', '北', '有电梯', '近地铁']"
2室2厅1卫,"['83.25㎡', '南北', '低层(共31层)', '2015年建造']",天鹅湖北苑,"高新区世纪城世纪城路996号,天府大道中段177号","['南北', '满五年', '近地铁', '绿化率高']"
3室2厅2卫,"['106.98㎡', '南', '低层(共18层)', '2004年建造']",润扬北城1号,新都石油大学万和北路8号,"['南', '满五年', '近地铁', '绿化率高']"
3室2厅1卫,"['92.16㎡', '南北', '高层(共25层)', '2017年建造']",凯德世纪名邸西庭,高新区大源天府一街1339号,"['南北', '满五年', '近地铁']"
3室2厅1卫,"['95.37㎡', '南北', '中层(共24层)', '2014年建造']",中海兰庭,高新区大源盛邦街333号,"['南北', '满五年', '近地铁']"
3室2厅2卫,"['113㎡', '东', '高层(共33层)', '2021年建造']",远大中央公园,天府新区南湖南湖大道333号,"['东', '满二年', '近地铁', '绿化率高']"
3室2厅2卫,"['95.67㎡', '西', '高层(共25层)', '2019年建造']",保利公园里(一期),"金牛天回镇大天路,天龙南一路222号","['西', '近地铁', '车位充足']"
3室2厅1卫,"['88㎡', '南', '中层(共38层)', '2017年建造']",洲际亚洲湾B区,温江光华大道江浦路288号,"['南', '满二年', '近地铁', '车位充足']"
3室2厅2卫,"['91.65㎡', '南', '高层(共21层)', '2018年建造']",万科城臻园,"郫都犀浦两河东路319号,天辰路190号","['南', '满二年', '近地铁', '户型方正']"
3室2厅1卫,"['87.07㎡', '北', '高层(共48层)', '2021年建造']",华润云庭,龙泉驿大面金枫路68号,"['北', '房东直卖', '满二年', '次新房']"
3室2厅1卫,"['94.33㎡', '东', '高层(共13层)', '2018年建造']",北大资源燕楠国际(一期),双流东升镇航都大街二段756号,"['东', '有电梯', '近地铁', '车位充足']"
3室2厅2卫,"['94㎡', '西南', '中层(共34层)', '2015年建造']",世茂城三期,"龙泉驿大面新建路88号,金茶路855号","['西南', '满二年']"
3室2厅1卫,"['83㎡', '南', '高层(共41层)', '2018年建造']",中国铁建北湖国际城二期,成华龙潭寺湖景四路2号,"['南', '满五年']"
3室2厅1卫,"['89.24㎡', '南', '中层(共18层)', '2011年建造']",南城都汇汇雅园,"高新区理想中心博雅街86号,博雅街88号","['南', '房东直卖', '有电梯', '近地铁']"
